"Notes"	"Residence State"	"Residence State Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"MMWR Week"	"MMWR Week Code"	Deaths	Population	Crude Rate
	"North Carolina"	"37"	"15-19 years"	"15-19"	"2022 Week 32 ending August 13, 2022"	"2022/32"	12	Not Applicable	Not Applicable
	"North Carolina"	"37"	"15-19 years"	"15-19"	"2022 Week 33 ending August 20, 2022"	"2022/33"	11	Not Applicable	Not Applicable
	"North Carolina"	"37"	"15-19 years"	"15-19"	"2022 Week 34 ending August 27, 2022"	"2022/34"	11	Not Applicable	Not Applicable
	"North Carolina"	"37"	"15-19 years"	"15-19"	"2022 Week 37 ending September 17, 2022"	"2022/37"	11	Not Applicable	Not Applicable
	"North Carolina"	"37"	"15-19 years"	"15-19"	"2022 Week 38 ending September 24, 2022"	"2022/38"	13	Not Applicable	Not Applicable
	"North Carolina"	"37"	"15-19 years"	"15-19"	"2022 Week 39 ending October 01, 2022"	"2022/39"	11	Not Applicable	Not Applicable
	"North Carolina"	"37"	"15-19 years"	"15-19"	"2022 Week 41 ending October 15, 2022"	"2022/41"	10	Not Applicable	Not Applicable
	"North Carolina"	"37"	"15-19 years"	"15-19"	"2022 Week 43 ending October 29, 2022"	"2022/43"	19	Not Applicable	Not Applicable
	"North Carolina"	"37"	"15-19 years"	"15-19"	"2022 Week 46 ending November 19, 2022"	"2022/46"	10	Not Applicable	Not Applicable
	"North Carolina"	"37"	"15-19 years"	"15-19"	"2022 Week 47 ending November 26, 2022"	"2022/47"	11	Not Applicable	Not Applicable
	"North Carolina"	"37"	"15-19 years"	"15-19"	"2022 Week 49 ending December 10, 2022"	"2022/49"	10	Not Applicable	Not Applicable
	"North Carolina"	"37"	"15-19 years"	"15-19"	"2022 Week 51 ending December 24, 2022"	"2022/51"	11	Not Applicable	Not Applicable
	"North Carolina"	"37"	"20-24 years"	"20-24"	"2022 Week 01 ending January 08, 2022"	"2022/01"	26	Not Applicable	Not Applicable
