Residence State,Five-Year Age Groups,Five-Year Age Groups Code,MMWR Week Code,Deaths
Oregon,100+ years,100+,2024/04,12
Oregon,100+ years,100+,2024/05,15
Oregon,100+ years,100+,2024/06,16
Oregon,100+ years,100+,2024/07,12
Oregon,100+ years,100+,2024/11,15
Oregon,100+ years,100+,2024/17,10
Oregon,100+ years,100+,2024/18,11
Oregon,100+ years,100+,2024/20,11
Oregon,100+ years,100+,2024/25,10
Oregon,100+ years,100+,2024/26,15
Oregon,100+ years,100+,2024/27,12
Oregon,100+ years,100+,2024/28,13
Oregon,100+ years,100+,2024/29,10
Oregon,100+ years,100+,2024/30,10
Oregon,100+ years,100+,2024/33,13
Oregon,100+ years,100+,2024/37,10
Oregon,100+ years,100+,2024/40,13
Oregon,100+ years,100+,2024/41,13
Oregon,100+ years,100+,2024/43,16
Oregon,100+ years,100+,2024/44,10
Oregon,100+ years,100+,2024/45,11
Oregon,100+ years,100+,2024/46,12
Oregon,100+ years,100+,2024/47,11
Oregon,100+ years,100+,2024/48,12
Pennsylvania,< 1 year,1,2024/01,13
Pennsylvania,< 1 year,1,2024/02,11
Pennsylvania,< 1 year,1,2024/03,14
Pennsylvania,< 1 year,1,2024/04,10
Pennsylvania,< 1 year,1,2024/05,13
Pennsylvania,< 1 year,1,2024/06,11
Pennsylvania,< 1 year,1,2024/07,11
Pennsylvania,< 1 year,1,2024/08,17
Pennsylvania,< 1 year,1,2024/09,16
Pennsylvania,< 1 year,1,2024/11,17
Pennsylvania,< 1 year,1,2024/12,11
Pennsylvania,< 1 year,1,2024/13,18
Pennsylvania,< 1 year,1,2024/14,13
Pennsylvania,< 1 year,1,2024/15,12
Pennsylvania,< 1 year,1,2024/16,20
Pennsylvania,< 1 year,1,2024/17,10
Pennsylvania,< 1 year,1,2024/18,14
Pennsylvania,< 1 year,1,2024/19,20
Pennsylvania,< 1 year,1,2024/20,15
Pennsylvania,< 1 year,1,2024/21,11
Pennsylvania,< 1 year,1,2024/22,12
Pennsylvania,< 1 year,1,2024/23,17
Pennsylvania,< 1 year,1,2024/24,13
Pennsylvania,< 1 year,1,2024/25,13
Pennsylvania,< 1 year,1,2024/26,12
Pennsylvania,< 1 year,1,2024/27,13
Pennsylvania,< 1 year,1,2024/28,10
