MMWR Week,MMWR Week Code,Five-Year Age Groups,Five-Year Age Groups Code,Deaths,Population,Crude Rate
"2020 Week 52 ending December 26, 2020",2020/52,40-44 years,40-44,1242,Not Applicable,Not Applicable
"2020 Week 52 ending December 26, 2020",2020/52,45-49 years,45-49,1786,Not Applicable,Not Applicable
"2020 Week 52 ending December 26, 2020",2020/52,50-54 years,50-54,2742,Not Applicable,Not Applicable
"2020 Week 52 ending December 26, 2020",2020/52,55-59 years,55-59,4254,Not Applicable,Not Applicable
"2020 Week 52 ending December 26, 2020",2020/52,60-64 years ,60-64,6385,Not Applicable,Not Applicable
"2020 Week 52 ending December 26, 2020",2020/52,65-69 years,65-69,7612,Not Applicable,Not Applicable
"2020 Week 52 ending December 26, 2020",2020/52,70-74 years,70-74,9386,Not Applicable,Not Applicable
"2020 Week 52 ending December 26, 2020",2020/52,75-79 years,75-79,10307,Not Applicable,Not Applicable
"2020 Week 52 ending December 26, 2020",2020/52,80-84 years,80-84,10956,Not Applicable,Not Applicable
"2020 Week 52 ending December 26, 2020",2020/52,85-89 years,85-89,11355,Not Applicable,Not Applicable
"2020 Week 52 ending December 26, 2020",2020/52,90-94 years,90-94,9374,Not Applicable,Not Applicable
"2020 Week 52 ending December 26, 2020",2020/52,95-99 years,95-99,4218,Not Applicable,Not Applicable
"2020 Week 52 ending December 26, 2020",2020/52,100+ years,100+,948,Not Applicable,Not Applicable
"2020 Week 52 ending December 26, 2020",2020/52,Not Stated,NS,Suppressed,Not Applicable,Not Applicable
"2020 Week 53 ending January 02, 2021",2020/53,< 1 year,1,378,Not Applicable,Not Applicable
"2020 Week 53 ending January 02, 2021",2020/53,1-4 years,1-4,52,Not Applicable,Not Applicable
"2020 Week 53 ending January 02, 2021",2020/53,5-9 years,5-9,46,Not Applicable,Not Applicable
"2020 Week 53 ending January 02, 2021",2020/53,10-14 years,10-14,64,Not Applicable,Not Applicable
"2020 Week 53 ending January 02, 2021",2020/53,15-19 years,15-19,246,Not Applicable,Not Applicable
"2020 Week 53 ending January 02, 2021",2020/53,20-24 years,20-24,480,Not Applicable,Not Applicable
"2020 Week 53 ending January 02, 2021",2020/53,25-29 years,25-29,714,Not Applicable,Not Applicable
"2020 Week 53 ending January 02, 2021",2020/53,30-34 years,30-34,931,Not Applicable,Not Applicable
"2020 Week 53 ending January 02, 2021",2020/53,35-39 years,35-39,1079,Not Applicable,Not Applicable
"2020 Week 53 ending January 02, 2021",2020/53,40-44 years,40-44,1320,Not Applicable,Not Applicable
"2020 Week 53 ending January 02, 2021",2020/53,45-49 years,45-49,1808,Not Applicable,Not Applicable
"2020 Week 53 ending January 02, 2021",2020/53,50-54 years,50-54,2801,Not Applicable,Not Applicable
"2020 Week 53 ending January 02, 2021",2020/53,55-59 years,55-59,4336,Not Applicable,Not Applicable
"2020 Week 53 ending January 02, 2021",2020/53,60-64 years ,60-64,6461,Not Applicable,Not Applicable
"2020 Week 53 ending January 02, 2021",2020/53,65-69 years,65-69,8013,Not Applicable,Not Applicable
"2020 Week 53 ending January 02, 2021",2020/53,70-74 years,70-74,9861,Not Applicable,Not Applicable
"2020 Week 53 ending January 02, 2021",2020/53,75-79 years,75-79,10610,Not Applicable,Not Applicable
"2020 Week 53 ending January 02, 2021",2020/53,80-84 years,80-84,11309,Not Applicable,Not Applicable
"2020 Week 53 ending January 02, 2021",2020/53,85-89 years,85-89,11570,Not Applicable,Not Applicable
"2020 Week 53 ending January 02, 2021",2020/53,90-94 years,90-94,9378,Not Applicable,Not Applicable
"2020 Week 53 ending January 02, 2021",2020/53,95-99 years,95-99,4422,Not Applicable,Not Applicable
"2020 Week 53 ending January 02, 2021",2020/53,100+ years,100+,974,Not Applicable,Not Applicable
"2020 Week 53 ending January 02, 2021",2020/53,Not Stated,NS,Suppressed,Not Applicable,Not Applicable
2020 Week Not Available,2020/99,< 1 year,1,0,Not Applicable,Not Applicable
2020 Week Not Available,2020/99,1-4 years,1-4,0,Not Applicable,Not Applicable
2020 Week Not Available,2020/99,5-9 years,5-9,0,Not Applicable,Not Applicable
2020 Week Not Available,2020/99,10-14 years,10-14,Suppressed,Not Applicable,Not Applicable
2020 Week Not Available,2020/99,15-19 years,15-19,0,Not Applicable,Not Applicable
2020 Week Not Available,2020/99,20-24 years,20-24,Suppressed,Not Applicable,Not Applicable
2020 Week Not Available,2020/99,25-29 years,25-29,Suppressed,Not Applicable,Not Applicable
2020 Week Not Available,2020/99,30-34 years,30-34,Suppressed,Not Applicable,Not Applicable
2020 Week Not Available,2020/99,35-39 years,35-39,10,Not Applicable,Not Applicable
2020 Week Not Available,2020/99,40-44 years,40-44,Suppressed,Not Applicable,Not Applicable
2020 Week Not Available,2020/99,45-49 years,45-49,Suppressed,Not Applicable,Not Applicable
2020 Week Not Available,2020/99,50-54 years,50-54,19,Not Applicable,Not Applicable
2020 Week Not Available,2020/99,55-59 years,55-59,22,Not Applicable,Not Applicable
2020 Week Not Available,2020/99,60-64 years ,60-64,31,Not Applicable,Not Applicable
2020 Week Not Available,2020/99,65-69 years,65-69,29,Not Applicable,Not Applicable
2020 Week Not Available,2020/99,70-74 years,70-74,22,Not Applicable,Not Applicable
2020 Week Not Available,2020/99,75-79 years,75-79,17,Not Applicable,Not Applicable
2020 Week Not Available,2020/99,80-84 years,80-84,Suppressed,Not Applicable,Not Applicable
2020 Week Not Available,2020/99,85-89 years,85-89,Suppressed,Not Applicable,Not Applicable
2020 Week Not Available,2020/99,90-94 years,90-94,Suppressed,Not Applicable,Not Applicable
2020 Week Not Available,2020/99,95-99 years,95-99,Suppressed,Not Applicable,Not Applicable
2020 Week Not Available,2020/99,100+ years,100+,Suppressed,Not Applicable,Not Applicable
2020 Week Not Available,2020/99,Not Stated,NS,0,Not Applicable,Not Applicable
"2021 Week 01 ending January 09, 2021",2021/01,< 1 year,1,359,Not Applicable,Not Applicable
"2021 Week 01 ending January 09, 2021",2021/01,1-4 years,1-4,60,Not Applicable,Not Applicable
"2021 Week 01 ending January 09, 2021",2021/01,5-9 years,5-9,41,Not Applicable,Not Applicable
"2021 Week 01 ending January 09, 2021",2021/01,10-14 years,10-14,50,Not Applicable,Not Applicable
"2021 Week 01 ending January 09, 2021",2021/01,15-19 years,15-19,221,Not Applicable,Not Applicable
"2021 Week 01 ending January 09, 2021",2021/01,20-24 years,20-24,433,Not Applicable,Not Applicable
"2021 Week 01 ending January 09, 2021",2021/01,25-29 years,25-29,684,Not Applicable,Not Applicable
"2021 Week 01 ending January 09, 2021",2021/01,30-34 years,30-34,881,Not Applicable,Not Applicable
"2021 Week 01 ending January 09, 2021",2021/01,35-39 years,35-39,1122,Not Applicable,Not Applicable
"2021 Week 01 ending January 09, 2021",2021/01,40-44 years,40-44,1380,Not Applicable,Not Applicable
"2021 Week 01 ending January 09, 2021",2021/01,45-49 years,45-49,1843,Not Applicable,Not Applicable
"2021 Week 01 ending January 09, 2021",2021/01,50-54 years,50-54,2826,Not Applicable,Not Applicable
"2021 Week 01 ending January 09, 2021",2021/01,55-59 years,55-59,4576,Not Applicable,Not Applicable
"2021 Week 01 ending January 09, 2021",2021/01,60-64 years ,60-64,6505,Not Applicable,Not Applicable
"2021 Week 01 ending January 09, 2021",2021/01,65-69 years,65-69,8012,Not Applicable,Not Applicable
"2021 Week 01 ending January 09, 2021",2021/01,70-74 years,70-74,9913,Not Applicable,Not Applicable
"2021 Week 01 ending January 09, 2021",2021/01,75-79 years,75-79,10768,Not Applicable,Not Applicable
"2021 Week 01 ending January 09, 2021",2021/01,80-84 years,80-84,11280,Not Applicable,Not Applicable
"2021 Week 01 ending January 09, 2021",2021/01,85-89 years,85-89,11513,Not Applicable,Not Applicable
"2021 Week 01 ending January 09, 2021",2021/01,90-94 years,90-94,9238,Not Applicable,Not Applicable
"2021 Week 01 ending January 09, 2021",2021/01,95-99 years,95-99,4307,Not Applicable,Not Applicable
"2021 Week 01 ending January 09, 2021",2021/01,100+ years,100+,871,Not Applicable,Not Applicable
"2021 Week 01 ending January 09, 2021",2021/01,Not Stated,NS,Suppressed,Not Applicable,Not Applicable
"2021 Week 02 ending January 16, 2021",2021/02,< 1 year,1,377,Not Applicable,Not Applicable
"2021 Week 02 ending January 16, 2021",2021/02,1-4 years,1-4,60,Not Applicable,Not Applicable
"2021 Week 02 ending January 16, 2021",2021/02,5-9 years,5-9,42,Not Applicable,Not Applicable
"2021 Week 02 ending January 16, 2021",2021/02,10-14 years,10-14,43,Not Applicable,Not Applicable
"2021 Week 02 ending January 16, 2021",2021/02,15-19 years,15-19,218,Not Applicable,Not Applicable
"2021 Week 02 ending January 16, 2021",2021/02,20-24 years,20-24,476,Not Applicable,Not Applicable
"2021 Week 02 ending January 16, 2021",2021/02,25-29 years,25-29,685,Not Applicable,Not Applicable
"2021 Week 02 ending January 16, 2021",2021/02,30-34 years,30-34,892,Not Applicable,Not Applicable
"2021 Week 02 ending January 16, 2021",2021/02,35-39 years,35-39,1118,Not Applicable,Not Applicable
"2021 Week 02 ending January 16, 2021",2021/02,40-44 years,40-44,1328,Not Applicable,Not Applicable
"2021 Week 02 ending January 16, 2021",2021/02,45-49 years,45-49,1786,Not Applicable,Not Applicable
"2021 Week 02 ending January 16, 2021",2021/02,50-54 years,50-54,2880,Not Applicable,Not Applicable
"2021 Week 02 ending January 16, 2021",2021/02,55-59 years,55-59,4467,Not Applicable,Not Applicable
"2021 Week 02 ending January 16, 2021",2021/02,60-64 years ,60-64,6660,Not Applicable,Not Applicable
"2021 Week 02 ending January 16, 2021",2021/02,65-69 years,65-69,8186,Not Applicable,Not Applicable
"2021 Week 02 ending January 16, 2021",2021/02,70-74 years,70-74,9977,Not Applicable,Not Applicable
"2021 Week 02 ending January 16, 2021",2021/02,75-79 years,75-79,10604,Not Applicable,Not Applicable
"2021 Week 02 ending January 16, 2021",2021/02,80-84 years,80-84,11511,Not Applicable,Not Applicable
"2021 Week 02 ending January 16, 2021",2021/02,85-89 years,85-89,11358,Not Applicable,Not Applicable
"2021 Week 02 ending January 16, 2021",2021/02,90-94 years,90-94,9362,Not Applicable,Not Applicable
"2021 Week 02 ending January 16, 2021",2021/02,95-99 years,95-99,4301,Not Applicable,Not Applicable
"2021 Week 02 ending January 16, 2021",2021/02,100+ years,100+,899,Not Applicable,Not Applicable
"2021 Week 02 ending January 16, 2021",2021/02,Not Stated,NS,0,Not Applicable,Not Applicable
"2021 Week 03 ending January 23, 2021",2021/03,< 1 year,1,365,Not Applicable,Not Applicable
"2021 Week 03 ending January 23, 2021",2021/03,1-4 years,1-4,61,Not Applicable,Not Applicable
"2021 Week 03 ending January 23, 2021",2021/03,5-9 years,5-9,33,Not Applicable,Not Applicable
"2021 Week 03 ending January 23, 2021",2021/03,10-14 years,10-14,74,Not Applicable,Not Applicable
"2021 Week 03 ending January 23, 2021",2021/03,15-19 years,15-19,228,Not Applicable,Not Applicable
"2021 Week 03 ending January 23, 2021",2021/03,20-24 years,20-24,481,Not Applicable,Not Applicable
"2021 Week 03 ending January 23, 2021",2021/03,25-29 years,25-29,636,Not Applicable,Not Applicable
"2021 Week 03 ending January 23, 2021",2021/03,30-34 years,30-34,884,Not Applicable,Not Applicable
"2021 Week 03 ending January 23, 2021",2021/03,35-39 years,35-39,1071,Not Applicable,Not Applicable
"2021 Week 03 ending January 23, 2021",2021/03,40-44 years,40-44,1236,Not Applicable,Not Applicable
"2021 Week 03 ending January 23, 2021",2021/03,45-49 years,45-49,1750,Not Applicable,Not Applicable
"2021 Week 03 ending January 23, 2021",2021/03,50-54 years,50-54,2704,Not Applicable,Not Applicable
"2021 Week 03 ending January 23, 2021",2021/03,55-59 years,55-59,4276,Not Applicable,Not Applicable
"2021 Week 03 ending January 23, 2021",2021/03,60-64 years ,60-64,6439,Not Applicable,Not Applicable
"2021 Week 03 ending January 23, 2021",2021/03,65-69 years,65-69,7838,Not Applicable,Not Applicable
"2021 Week 03 ending January 23, 2021",2021/03,70-74 years,70-74,9706,Not Applicable,Not Applicable
"2021 Week 03 ending January 23, 2021",2021/03,75-79 years,75-79,10417,Not Applicable,Not Applicable
"2021 Week 03 ending January 23, 2021",2021/03,80-84 years,80-84,10720,Not Applicable,Not Applicable
"2021 Week 03 ending January 23, 2021",2021/03,85-89 years,85-89,10931,Not Applicable,Not Applicable
"2021 Week 03 ending January 23, 2021",2021/03,90-94 years,90-94,8826,Not Applicable,Not Applicable
"2021 Week 03 ending January 23, 2021",2021/03,95-99 years,95-99,4069,Not Applicable,Not Applicable
"2021 Week 03 ending January 23, 2021",2021/03,100+ years,100+,787,Not Applicable,Not Applicable
"2021 Week 03 ending January 23, 2021",2021/03,Not Stated,NS,Suppressed,Not Applicable,Not Applicable
"2021 Week 04 ending January 30, 2021",2021/04,< 1 year,1,407,Not Applicable,Not Applicable
"2021 Week 04 ending January 30, 2021",2021/04,1-4 years,1-4,58,Not Applicable,Not Applicable
"2021 Week 04 ending January 30, 2021",2021/04,5-9 years,5-9,41,Not Applicable,Not Applicable
"2021 Week 04 ending January 30, 2021",2021/04,10-14 years,10-14,58,Not Applicable,Not Applicable
"2021 Week 04 ending January 30, 2021",2021/04,15-19 years,15-19,263,Not Applicable,Not Applicable
"2021 Week 04 ending January 30, 2021",2021/04,20-24 years,20-24,450,Not Applicable,Not Applicable
"2021 Week 04 ending January 30, 2021",2021/04,25-29 years,25-29,639,Not Applicable,Not Applicable
"2021 Week 04 ending January 30, 2021",2021/04,30-34 years,30-34,792,Not Applicable,Not Applicable
"2021 Week 04 ending January 30, 2021",2021/04,35-39 years,35-39,980,Not Applicable,Not Applicable
"2021 Week 04 ending January 30, 2021",2021/04,40-44 years,40-44,1251,Not Applicable,Not Applicable
"2021 Week 04 ending January 30, 2021",2021/04,45-49 years,45-49,1721,Not Applicable,Not Applicable
"2021 Week 04 ending January 30, 2021",2021/04,50-54 years,50-54,2646,Not Applicable,Not Applicable
"2021 Week 04 ending January 30, 2021",2021/04,55-59 years,55-59,4189,Not Applicable,Not Applicable
"2021 Week 04 ending January 30, 2021",2021/04,60-64 years ,60-64,6089,Not Applicable,Not Applicable
"2021 Week 04 ending January 30, 2021",2021/04,65-69 years,65-69,7420,Not Applicable,Not Applicable
"2021 Week 04 ending January 30, 2021",2021/04,70-74 years,70-74,9097,Not Applicable,Not Applicable
"2021 Week 04 ending January 30, 2021",2021/04,75-79 years,75-79,9601,Not Applicable,Not Applicable
"2021 Week 04 ending January 30, 2021",2021/04,80-84 years,80-84,10158,Not Applicable,Not Applicable
"2021 Week 04 ending January 30, 2021",2021/04,85-89 years,85-89,10237,Not Applicable,Not Applicable
"2021 Week 04 ending January 30, 2021",2021/04,90-94 years,90-94,8295,Not Applicable,Not Applicable
"2021 Week 04 ending January 30, 2021",2021/04,95-99 years,95-99,3788,Not Applicable,Not Applicable
"2021 Week 04 ending January 30, 2021",2021/04,100+ years,100+,869,Not Applicable,Not Applicable
"2021 Week 04 ending January 30, 2021",2021/04,Not Stated,NS,Suppressed,Not Applicable,Not Applicable
"2021 Week 05 ending February 06, 2021",2021/05,< 1 year,1,347,Not Applicable,Not Applicable
"2021 Week 05 ending February 06, 2021",2021/05,1-4 years,1-4,75,Not Applicable,Not Applicable
"2021 Week 05 ending February 06, 2021",2021/05,5-9 years,5-9,46,Not Applicable,Not Applicable
"2021 Week 05 ending February 06, 2021",2021/05,10-14 years,10-14,64,Not Applicable,Not Applicable
"2021 Week 05 ending February 06, 2021",2021/05,15-19 years,15-19,239,Not Applicable,Not Applicable
"2021 Week 05 ending February 06, 2021",2021/05,20-24 years,20-24,477,Not Applicable,Not Applicable
"2021 Week 05 ending February 06, 2021",2021/05,25-29 years,25-29,647,Not Applicable,Not Applicable
"2021 Week 05 ending February 06, 2021",2021/05,30-34 years,30-34,853,Not Applicable,Not Applicable
"2021 Week 05 ending February 06, 2021",2021/05,35-39 years,35-39,1088,Not Applicable,Not Applicable
"2021 Week 05 ending February 06, 2021",2021/05,40-44 years,40-44,1226,Not Applicable,Not Applicable
"2021 Week 05 ending February 06, 2021",2021/05,45-49 years,45-49,1601,Not Applicable,Not Applicable
"2021 Week 05 ending February 06, 2021",2021/05,50-54 years,50-54,2538,Not Applicable,Not Applicable
"2021 Week 05 ending February 06, 2021",2021/05,55-59 years,55-59,4029,Not Applicable,Not Applicable
"2021 Week 05 ending February 06, 2021",2021/05,60-64 years ,60-64,6048,Not Applicable,Not Applicable
"2021 Week 05 ending February 06, 2021",2021/05,65-69 years,65-69,7339,Not Applicable,Not Applicable
"2021 Week 05 ending February 06, 2021",2021/05,70-74 years,70-74,8881,Not Applicable,Not Applicable
"2021 Week 05 ending February 06, 2021",2021/05,75-79 years,75-79,9261,Not Applicable,Not Applicable
"2021 Week 05 ending February 06, 2021",2021/05,80-84 years,80-84,9636,Not Applicable,Not Applicable
"2021 Week 05 ending February 06, 2021",2021/05,85-89 years,85-89,9641,Not Applicable,Not Applicable
"2021 Week 05 ending February 06, 2021",2021/05,90-94 years,90-94,7981,Not Applicable,Not Applicable
"2021 Week 05 ending February 06, 2021",2021/05,95-99 years,95-99,3609,Not Applicable,Not Applicable
"2021 Week 05 ending February 06, 2021",2021/05,100+ years,100+,722,Not Applicable,Not Applicable
"2021 Week 05 ending February 06, 2021",2021/05,Not Stated,NS,Suppressed,Not Applicable,Not Applicable
"2021 Week 06 ending February 13, 2021",2021/06,< 1 year,1,365,Not Applicable,Not Applicable
"2021 Week 06 ending February 13, 2021",2021/06,1-4 years,1-4,64,Not Applicable,Not Applicable
"2021 Week 06 ending February 13, 2021",2021/06,5-9 years,5-9,32,Not Applicable,Not Applicable
"2021 Week 06 ending February 13, 2021",2021/06,10-14 years,10-14,71,Not Applicable,Not Applicable
"2021 Week 06 ending February 13, 2021",2021/06,15-19 years,15-19,221,Not Applicable,Not Applicable
"2021 Week 06 ending February 13, 2021",2021/06,20-24 years,20-24,408,Not Applicable,Not Applicable
"2021 Week 06 ending February 13, 2021",2021/06,25-29 years,25-29,644,Not Applicable,Not Applicable
"2021 Week 06 ending February 13, 2021",2021/06,30-34 years,30-34,802,Not Applicable,Not Applicable
"2021 Week 06 ending February 13, 2021",2021/06,35-39 years,35-39,994,Not Applicable,Not Applicable
"2021 Week 06 ending February 13, 2021",2021/06,40-44 years,40-44,1231,Not Applicable,Not Applicable
"2021 Week 06 ending February 13, 2021",2021/06,45-49 years,45-49,1666,Not Applicable,Not Applicable
"2021 Week 06 ending February 13, 2021",2021/06,50-54 years,50-54,2518,Not Applicable,Not Applicable
"2021 Week 06 ending February 13, 2021",2021/06,55-59 years,55-59,3972,Not Applicable,Not Applicable
"2021 Week 06 ending February 13, 2021",2021/06,60-64 years ,60-64,5656,Not Applicable,Not Applicable
"2021 Week 06 ending February 13, 2021",2021/06,65-69 years,65-69,6681,Not Applicable,Not Applicable
"2021 Week 06 ending February 13, 2021",2021/06,70-74 years,70-74,8303,Not Applicable,Not Applicable
"2021 Week 06 ending February 13, 2021",2021/06,75-79 years,75-79,8703,Not Applicable,Not Applicable
"2021 Week 06 ending February 13, 2021",2021/06,80-84 years,80-84,9048,Not Applicable,Not Applicable
"2021 Week 06 ending February 13, 2021",2021/06,85-89 years,85-89,8826,Not Applicable,Not Applicable
"2021 Week 06 ending February 13, 2021",2021/06,90-94 years,90-94,7160,Not Applicable,Not Applicable
"2021 Week 06 ending February 13, 2021",2021/06,95-99 years,95-99,3337,Not Applicable,Not Applicable
"2021 Week 06 ending February 13, 2021",2021/06,100+ years,100+,680,Not Applicable,Not Applicable
"2021 Week 06 ending February 13, 2021",2021/06,Not Stated,NS,0,Not Applicable,Not Applicable
"2021 Week 07 ending February 20, 2021",2021/07,< 1 year,1,374,Not Applicable,Not Applicable
"2021 Week 07 ending February 20, 2021",2021/07,1-4 years,1-4,68,Not Applicable,Not Applicable
"2021 Week 07 ending February 20, 2021",2021/07,5-9 years,5-9,41,Not Applicable,Not Applicable
"2021 Week 07 ending February 20, 2021",2021/07,10-14 years,10-14,60,Not Applicable,Not Applicable
"2021 Week 07 ending February 20, 2021",2021/07,15-19 years,15-19,230,Not Applicable,Not Applicable
"2021 Week 07 ending February 20, 2021",2021/07,20-24 years,20-24,401,Not Applicable,Not Applicable
"2021 Week 07 ending February 20, 2021",2021/07,25-29 years,25-29,570,Not Applicable,Not Applicable
"2021 Week 07 ending February 20, 2021",2021/07,30-34 years,30-34,814,Not Applicable,Not Applicable
"2021 Week 07 ending February 20, 2021",2021/07,35-39 years,35-39,915,Not Applicable,Not Applicable
"2021 Week 07 ending February 20, 2021",2021/07,40-44 years,40-44,1104,Not Applicable,Not Applicable
"2021 Week 07 ending February 20, 2021",2021/07,45-49 years,45-49,1565,Not Applicable,Not Applicable
"2021 Week 07 ending February 20, 2021",2021/07,50-54 years,50-54,2411,Not Applicable,Not Applicable
"2021 Week 07 ending February 20, 2021",2021/07,55-59 years,55-59,3771,Not Applicable,Not Applicable
"2021 Week 07 ending February 20, 2021",2021/07,60-64 years ,60-64,5612,Not Applicable,Not Applicable
"2021 Week 07 ending February 20, 2021",2021/07,65-69 years,65-69,6712,Not Applicable,Not Applicable
"2021 Week 07 ending February 20, 2021",2021/07,70-74 years,70-74,8041,Not Applicable,Not Applicable
"2021 Week 07 ending February 20, 2021",2021/07,75-79 years,75-79,8397,Not Applicable,Not Applicable
"2021 Week 07 ending February 20, 2021",2021/07,80-84 years,80-84,8670,Not Applicable,Not Applicable
"2021 Week 07 ending February 20, 2021",2021/07,85-89 years,85-89,8674,Not Applicable,Not Applicable
"2021 Week 07 ending February 20, 2021",2021/07,90-94 years,90-94,6934,Not Applicable,Not Applicable
"2021 Week 07 ending February 20, 2021",2021/07,95-99 years,95-99,3292,Not Applicable,Not Applicable
"2021 Week 07 ending February 20, 2021",2021/07,100+ years,100+,715,Not Applicable,Not Applicable
"2021 Week 07 ending February 20, 2021",2021/07,Not Stated,NS,0,Not Applicable,Not Applicable
"2021 Week 08 ending February 27, 2021",2021/08,< 1 year,1,398,Not Applicable,Not Applicable
"2021 Week 08 ending February 27, 2021",2021/08,1-4 years,1-4,62,Not Applicable,Not Applicable
"2021 Week 08 ending February 27, 2021",2021/08,5-9 years,5-9,46,Not Applicable,Not Applicable
"2021 Week 08 ending February 27, 2021",2021/08,10-14 years,10-14,73,Not Applicable,Not Applicable
"2021 Week 08 ending February 27, 2021",2021/08,15-19 years,15-19,231,Not Applicable,Not Applicable
"2021 Week 08 ending February 27, 2021",2021/08,20-24 years,20-24,449,Not Applicable,Not Applicable
"2021 Week 08 ending February 27, 2021",2021/08,25-29 years,25-29,627,Not Applicable,Not Applicable
"2021 Week 08 ending February 27, 2021",2021/08,30-34 years,30-34,769,Not Applicable,Not Applicable
"2021 Week 08 ending February 27, 2021",2021/08,35-39 years,35-39,956,Not Applicable,Not Applicable
"2021 Week 08 ending February 27, 2021",2021/08,40-44 years,40-44,1136,Not Applicable,Not Applicable
"2021 Week 08 ending February 27, 2021",2021/08,45-49 years,45-49,1505,Not Applicable,Not Applicable
"2021 Week 08 ending February 27, 2021",2021/08,50-54 years,50-54,2396,Not Applicable,Not Applicable
"2021 Week 08 ending February 27, 2021",2021/08,55-59 years,55-59,3590,Not Applicable,Not Applicable
"2021 Week 08 ending February 27, 2021",2021/08,60-64 years ,60-64,5244,Not Applicable,Not Applicable
"2021 Week 08 ending February 27, 2021",2021/08,65-69 years,65-69,6377,Not Applicable,Not Applicable
"2021 Week 08 ending February 27, 2021",2021/08,70-74 years,70-74,7802,Not Applicable,Not Applicable
"2021 Week 08 ending February 27, 2021",2021/08,75-79 years,75-79,8009,Not Applicable,Not Applicable
"2021 Week 08 ending February 27, 2021",2021/08,80-84 years,80-84,8200,Not Applicable,Not Applicable
"2021 Week 08 ending February 27, 2021",2021/08,85-89 years,85-89,8361,Not Applicable,Not Applicable
"2021 Week 08 ending February 27, 2021",2021/08,90-94 years,90-94,6675,Not Applicable,Not Applicable
"2021 Week 08 ending February 27, 2021",2021/08,95-99 years,95-99,3039,Not Applicable,Not Applicable
"2021 Week 08 ending February 27, 2021",2021/08,100+ years,100+,673,Not Applicable,Not Applicable
"2021 Week 08 ending February 27, 2021",2021/08,Not Stated,NS,0,Not Applicable,Not Applicable
"2021 Week 09 ending March 06, 2021",2021/09,< 1 year,1,348,Not Applicable,Not Applicable
"2021 Week 09 ending March 06, 2021",2021/09,1-4 years,1-4,51,Not Applicable,Not Applicable
"2021 Week 09 ending March 06, 2021",2021/09,5-9 years,5-9,38,Not Applicable,Not Applicable
"2021 Week 09 ending March 06, 2021",2021/09,10-14 years,10-14,88,Not Applicable,Not Applicable
"2021 Week 09 ending March 06, 2021",2021/09,15-19 years,15-19,212,Not Applicable,Not Applicable
"2021 Week 09 ending March 06, 2021",2021/09,20-24 years,20-24,451,Not Applicable,Not Applicable
"2021 Week 09 ending March 06, 2021",2021/09,25-29 years,25-29,644,Not Applicable,Not Applicable
"2021 Week 09 ending March 06, 2021",2021/09,30-34 years,30-34,781,Not Applicable,Not Applicable
"2021 Week 09 ending March 06, 2021",2021/09,35-39 years,35-39,915,Not Applicable,Not Applicable
"2021 Week 09 ending March 06, 2021",2021/09,40-44 years,40-44,1175,Not Applicable,Not Applicable
"2021 Week 09 ending March 06, 2021",2021/09,45-49 years,45-49,1480,Not Applicable,Not Applicable
"2021 Week 09 ending March 06, 2021",2021/09,50-54 years,50-54,2247,Not Applicable,Not Applicable
"2021 Week 09 ending March 06, 2021",2021/09,55-59 years,55-59,3552,Not Applicable,Not Applicable
"2021 Week 09 ending March 06, 2021",2021/09,60-64 years ,60-64,5198,Not Applicable,Not Applicable
"2021 Week 09 ending March 06, 2021",2021/09,65-69 years,65-69,5972,Not Applicable,Not Applicable
"2021 Week 09 ending March 06, 2021",2021/09,70-74 years,70-74,7344,Not Applicable,Not Applicable
"2021 Week 09 ending March 06, 2021",2021/09,75-79 years,75-79,7601,Not Applicable,Not Applicable
"2021 Week 09 ending March 06, 2021",2021/09,80-84 years,80-84,7921,Not Applicable,Not Applicable
"2021 Week 09 ending March 06, 2021",2021/09,85-89 years,85-89,7784,Not Applicable,Not Applicable
"2021 Week 09 ending March 06, 2021",2021/09,90-94 years,90-94,6353,Not Applicable,Not Applicable
"2021 Week 09 ending March 06, 2021",2021/09,95-99 years,95-99,2836,Not Applicable,Not Applicable
"2021 Week 09 ending March 06, 2021",2021/09,100+ years,100+,579,Not Applicable,Not Applicable
"2021 Week 09 ending March 06, 2021",2021/09,Not Stated,NS,Suppressed,Not Applicable,Not Applicable
"2021 Week 10 ending March 13, 2021",2021/10,< 1 year,1,372,Not Applicable,Not Applicable
"2021 Week 10 ending March 13, 2021",2021/10,1-4 years,1-4,57,Not Applicable,Not Applicable
"2021 Week 10 ending March 13, 2021",2021/10,5-9 years,5-9,39,Not Applicable,Not Applicable
"2021 Week 10 ending March 13, 2021",2021/10,10-14 years,10-14,60,Not Applicable,Not Applicable
"2021 Week 10 ending March 13, 2021",2021/10,15-19 years,15-19,271,Not Applicable,Not Applicable
"2021 Week 10 ending March 13, 2021",2021/10,20-24 years,20-24,418,Not Applicable,Not Applicable
"2021 Week 10 ending March 13, 2021",2021/10,25-29 years,25-29,630,Not Applicable,Not Applicable
"2021 Week 10 ending March 13, 2021",2021/10,30-34 years,30-34,780,Not Applicable,Not Applicable
"2021 Week 10 ending March 13, 2021",2021/10,35-39 years,35-39,922,Not Applicable,Not Applicable
"2021 Week 10 ending March 13, 2021",2021/10,40-44 years,40-44,1136,Not Applicable,Not Applicable
"2021 Week 10 ending March 13, 2021",2021/10,45-49 years,45-49,1474,Not Applicable,Not Applicable
"2021 Week 10 ending March 13, 2021",2021/10,50-54 years,50-54,2219,Not Applicable,Not Applicable
