MMWR Week,MMWR Week Code,Five-Year Age Groups,Five-Year Age Groups Code,Deaths,Population,Crude Rate
"2018 Week 05 ending February 03, 2018",2018/05,< 1 year,1,462,Not Applicable,Not Applicable
"2018 Week 05 ending February 03, 2018",2018/05,1-4 years,1-4,66,Not Applicable,Not Applicable
"2018 Week 05 ending February 03, 2018",2018/05,5-9 years,5-9,40,Not Applicable,Not Applicable
"2018 Week 05 ending February 03, 2018",2018/05,10-14 years,10-14,63,Not Applicable,Not Applicable
"2018 Week 05 ending February 03, 2018",2018/05,15-19 years,15-19,199,Not Applicable,Not Applicable
"2018 Week 05 ending February 03, 2018",2018/05,20-24 years,20-24,389,Not Applicable,Not Applicable
"2018 Week 05 ending February 03, 2018",2018/05,25-29 years,25-29,502,Not Applicable,Not Applicable
"2018 Week 05 ending February 03, 2018",2018/05,30-34 years,30-34,627,Not Applicable,Not Applicable
"2018 Week 05 ending February 03, 2018",2018/05,35-39 years,35-39,763,Not Applicable,Not Applicable
"2018 Week 05 ending February 03, 2018",2018/05,40-44 years,40-44,845,Not Applicable,Not Applicable
"2018 Week 05 ending February 03, 2018",2018/05,45-49 years,45-49,1262,Not Applicable,Not Applicable
"2018 Week 05 ending February 03, 2018",2018/05,50-54 years,50-54,2074,Not Applicable,Not Applicable
"2018 Week 05 ending February 03, 2018",2018/05,55-59 years,55-59,3325,Not Applicable,Not Applicable
"2018 Week 05 ending February 03, 2018",2018/05,60-64 years ,60-64,4381,Not Applicable,Not Applicable
"2018 Week 05 ending February 03, 2018",2018/05,65-69 years,65-69,5263,Not Applicable,Not Applicable
"2018 Week 05 ending February 03, 2018",2018/05,70-74 years,70-74,6281,Not Applicable,Not Applicable
"2018 Week 05 ending February 03, 2018",2018/05,75-79 years,75-79,6925,Not Applicable,Not Applicable
"2018 Week 05 ending February 03, 2018",2018/05,80-84 years,80-84,7577,Not Applicable,Not Applicable
"2018 Week 05 ending February 03, 2018",2018/05,85-89 years,85-89,8672,Not Applicable,Not Applicable
"2018 Week 05 ending February 03, 2018",2018/05,90-94 years,90-94,7226,Not Applicable,Not Applicable
"2018 Week 05 ending February 03, 2018",2018/05,95-99 years,95-99,3299,Not Applicable,Not Applicable
"2018 Week 05 ending February 03, 2018",2018/05,100+ years,100+,731,Not Applicable,Not Applicable
"2018 Week 05 ending February 03, 2018",2018/05,Not Stated,NS,Suppressed,Not Applicable,Not Applicable
"2018 Week 06 ending February 10, 2018",2018/06,< 1 year,1,405,Not Applicable,Not Applicable
"2018 Week 06 ending February 10, 2018",2018/06,1-4 years,1-4,74,Not Applicable,Not Applicable
"2018 Week 06 ending February 10, 2018",2018/06,5-9 years,5-9,46,Not Applicable,Not Applicable
"2018 Week 06 ending February 10, 2018",2018/06,10-14 years,10-14,66,Not Applicable,Not Applicable
"2018 Week 06 ending February 10, 2018",2018/06,15-19 years,15-19,208,Not Applicable,Not Applicable
