"Notes"	"Residence State"	"Residence State Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"MMWR Week"	"MMWR Week Code"	Deaths	Population	Crude Rate
	"Maryland"	"24"	"50-54 years"	"50-54"	"2021 Week 23 ending June 12, 2021"	"2021/23"	24	Not Applicable	Not Applicable
	"Maryland"	"24"	"50-54 years"	"50-54"	"2021 Week 24 ending June 19, 2021"	"2021/24"	43	Not Applicable	Not Applicable
	"Maryland"	"24"	"50-54 years"	"50-54"	"2021 Week 25 ending June 26, 2021"	"2021/25"	44	Not Applicable	Not Applicable
	"Maryland"	"24"	"50-54 years"	"50-54"	"2021 Week 26 ending July 03, 2021"	"2021/26"	48	Not Applicable	Not Applicable
	"Maryland"	"24"	"50-54 years"	"50-54"	"2021 Week 27 ending July 10, 2021"	"2021/27"	30	Not Applicable	Not Applicable
	"Maryland"	"24"	"50-54 years"	"50-54"	"2021 Week 28 ending July 17, 2021"	"2021/28"	38	Not Applicable	Not Applicable
	"Maryland"	"24"	"50-54 years"	"50-54"	"2021 Week 29 ending July 24, 2021"	"2021/29"	32	Not Applicable	Not Applicable
	"Maryland"	"24"	"50-54 years"	"50-54"	"2021 Week 30 ending July 31, 2021"	"2021/30"	31	Not Applicable	Not Applicable
	"Maryland"	"24"	"50-54 years"	"50-54"	"2021 Week 31 ending August 07, 2021"	"2021/31"	39	Not Applicable	Not Applicable
	"Maryland"	"24"	"50-54 years"	"50-54"	"2021 Week 32 ending August 14, 2021"	"2021/32"	34	Not Applicable	Not Applicable
	"Maryland"	"24"	"50-54 years"	"50-54"	"2021 Week 33 ending August 21, 2021"	"2021/33"	48	Not Applicable	Not Applicable
	"Maryland"	"24"	"50-54 years"	"50-54"	"2021 Week 34 ending August 28, 2021"	"2021/34"	39	Not Applicable	Not Applicable
	"Maryland"	"24"	"50-54 years"	"50-54"	"2021 Week 35 ending September 04, 2021"	"2021/35"	48	Not Applicable	Not Applicable
	"Maryland"	"24"	"50-54 years"	"50-54"	"2021 Week 36 ending September 11, 2021"	"2021/36"	40	Not Applicable	Not Applicable
	"Maryland"	"24"	"50-54 years"	"50-54"	"2021 Week 37 ending September 18, 2021"	"2021/37"	37	Not Applicable	Not Applicable
	"Maryland"	"24"	"50-54 years"	"50-54"	"2021 Week 38 ending September 25, 2021"	"2021/38"	34	Not Applicable	Not Applicable
	"Maryland"	"24"	"50-54 years"	"50-54"	"2021 Week 39 ending October 02, 2021"	"2021/39"	58	Not Applicable	Not Applicable
	"Maryland"	"24"	"50-54 years"	"50-54"	"2021 Week 40 ending October 09, 2021"	"2021/40"	41	Not Applicable	Not Applicable
	"Maryland"	"24"	"50-54 years"	"50-54"	"2021 Week 41 ending October 16, 2021"	"2021/41"	65	Not Applicable	Not Applicable
	"Maryland"	"24"	"50-54 years"	"50-54"	"2021 Week 42 ending October 23, 2021"	"2021/42"	57	Not Applicable	Not Applicable
	"Maryland"	"24"	"50-54 years"	"50-54"	"2021 Week 43 ending October 30, 2021"	"2021/43"	43	Not Applicable	Not Applicable
	"Maryland"	"24"	"50-54 years"	"50-54"	"2021 Week 44 ending November 06, 2021"	"2021/44"	43	Not Applicable	Not Applicable
	"Maryland"	"24"	"50-54 years"	"50-54"	"2021 Week 45 ending November 13, 2021"	"2021/45"	37	Not Applicable	Not Applicable
	"Maryland"	"24"	"50-54 years"	"50-54"	"2021 Week 46 ending November 20, 2021"	"2021/46"	34	Not Applicable	Not Applicable
	"Maryland"	"24"	"50-54 years"	"50-54"	"2021 Week 47 ending November 27, 2021"	"2021/47"	35	Not Applicable	Not Applicable
	"Maryland"	"24"	"50-54 years"	"50-54"	"2021 Week 48 ending December 04, 2021"	"2021/48"	41	Not Applicable	Not Applicable
	"Maryland"	"24"	"50-54 years"	"50-54"	"2021 Week 49 ending December 11, 2021"	"2021/49"	43	Not Applicable	Not Applicable
	"Maryland"	"24"	"50-54 years"	"50-54"	"2021 Week 50 ending December 18, 2021"	"2021/50"	35	Not Applicable	Not Applicable
	"Maryland"	"24"	"50-54 years"	"50-54"	"2021 Week 51 ending December 25, 2021"	"2021/51"	59	Not Applicable	Not Applicable
	"Maryland"	"24"	"50-54 years"	"50-54"	"2021 Week 52 ending January 01, 2022"	"2021/52"	41	Not Applicable	Not Applicable
	"Maryland"	"24"	"55-59 years"	"55-59"	"2021 Week 01 ending January 09, 2021"	"2021/01"	73	Not Applicable	Not Applicable
	"Maryland"	"24"	"55-59 years"	"55-59"	"2021 Week 02 ending January 16, 2021"	"2021/02"	67	Not Applicable	Not Applicable
	"Maryland"	"24"	"55-59 years"	"55-59"	"2021 Week 03 ending January 23, 2021"	"2021/03"	77	Not Applicable	Not Applicable
	"Maryland"	"24"	"55-59 years"	"55-59"	"2021 Week 04 ending January 30, 2021"	"2021/04"	84	Not Applicable	Not Applicable
	"Maryland"	"24"	"55-59 years"	"55-59"	"2021 Week 05 ending February 06, 2021"	"2021/05"	92	Not Applicable	Not Applicable
	"Maryland"	"24"	"55-59 years"	"55-59"	"2021 Week 06 ending February 13, 2021"	"2021/06"	54	Not Applicable	Not Applicable
