"Notes"	"Year"	"Year Code"	"Age Group"	"Age Group Code"	Deaths	Population	Crude Rate
	"1976"	"1976"	"35-44 years"	"35-44"	58469	23031000	253.9
	"1976"	"1976"	"45-54 years"	"45-54"	150036	23615000	635.3
	"1976"	"1976"	"55-64 years"	"55-64"	296060	20385000	1452.3
	"1976"	"1976"	"65-74 years"	"65-74"	443927	14237000	3118.1
	"1976"	"1976"	"75-84 years"	"75-84"	496719	7145000	6952.0
	"1976"	"1976"	"85+ years"	"85+"	304472	1896000	16058.6
	"1976"	"1976"	"Not Stated"	"NS"	475	Not Applicable	Not Applicable
"Total"	"1976"	"1976"			1909440	217615788	877.4
	"1977"	"1977"	"< 1 year"	"1"	46975	3326632	1412.1
	"1977"	"1977"	"1-4 years"	"1-4"	8307	12285000	67.6
	"1977"	"1977"	"5-9 years"	"5-9"	5834	17530000	33.3
	"1977"	"1977"	"10-14 years"	"10-14"	6745	19504000	34.6
	"1977"	"1977"	"15-19 years"	"15-19"	21443	21476000	99.8
	"1977"	"1977"	"20-24 years"	"20-24"	26543	20311000	130.7
	"1977"	"1977"	"25-34 years"	"25-34"	44933	33841000	132.8
	"1977"	"1977"	"35-44 years"	"35-44"	58109	23500000	247.3
	"1977"	"1977"	"45-54 years"	"45-54"	145123	23363000	621.2
	"1977"	"1977"	"55-64 years"	"55-64"	292672	20780000	1408.4
	"1977"	"1977"	"65-74 years"	"65-74"	445595	14638000	3044.1
	"1977"	"1977"	"75-84 years"	"75-84"	490598	7262000	6755.7
	"1977"	"1977"	"85+ years"	"85+"	306151	1992000	15369.0
	"1977"	"1977"	"Not Stated"	"NS"	569	Not Applicable	Not Applicable
"Total"	"1977"	"1977"			1899597	219808632	864.2
	"1978"	"1978"	"< 1 year"	"1"	45945	3333279	1378.4
	"1978"	"1978"	"1-4 years"	"1-4"	8429	12409000	67.9
	"1978"	"1978"	"5-9 years"	"5-9"	5649	17300000	32.7
	"1978"	"1978"	"10-14 years"	"10-14"	6381	18919000	33.7
	"1978"	"1978"	"15-19 years"	"15-19"	21200	21436000	98.9
	"1978"	"1978"	"20-24 years"	"20-24"	27300	20748000	131.6
	"1978"	"1978"	"25-34 years"	"25-34"	45822	34803000	131.7
	"1978"	"1978"	"35-44 years"	"35-44"	58169	24374000	238.7
	"1978"	"1978"	"45-54 years"	"45-54"	141395	23166000	610.4
	"1978"	"1978"	"55-64 years"	"55-64"	292851	21112000	1387.1
	"1978"	"1978"	"65-74 years"	"65-74"	452259	14995000	3016.1
	"1978"	"1978"	"75-84 years"	"75-84"	497326	7412000	6709.7
	"1978"	"1978"	"85+ years"	"85+"	324297	2095000	15479.6
	"1978"	"1978"	"Not Stated"	"NS"	765	Not Applicable	Not Applicable
"Total"	"1978"	"1978"			1927788	222102279	868.0
"Total"					21201684	2320363006	913.7
"---"
"Dataset: Compressed Mortality, 1968-1978"
"Query Parameters:"
"Group By: Year; Age Group"
"Show Totals: True"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 100,000"
