Strike ID,Date,Location,Province,Type of attack,Confirmed/possible US attack?,Air operation?,Drone strike,Minimum number of strikes,Maximum number of strikes,Minimum people killed,Maximum people killed,Minimum civilians reported killed,Maximum civilians reported killed,Minimum children reported killed,Maximum children reported killed,Minimum people injured,Maximum people injured,Strike link,
YEM165,21/06/2014,Unknown,Bayda,AirstrikePossible drone strike,Possible,1,1,1,1,0,0,0,0,0,0,0,0,www.thebureauinvestigates.com/2014/01/06/yemen-reported-us-covert-actions-2014/#YEM165,
YEM166,09/08/14,Wadi Abida,Marib,Drone strike,Confirmed,1,1,1,1,3,3,0,0,0,0,2,2,www.thebureauinvestigates.com/2014/01/06/yemen-reported-us-covert-actions-2014/#YEM166,
YEM167,16/08/2014,Unknown,Hadhramout,AirstrikePossible drone strike,Possible,1,1,1,1,3,3,0,0,0,0,0,0,www.thebureauinvestigates.com/2014/01/06/yemen-reported-us-covert-actions-2014/#YEM167,
YEM168,11/09/14,Unknown,Shabwa,Drone strike,Confirmed,1,1,1,1,4,5,0,0,0,0,0,0,www.thebureauinvestigates.com/2014/01/06/yemen-reported-us-covert-actions-2014/#YEM168,
YEM169,25/09/2014,NasabNear Ataq,Shabwa,AirstrikePossible drone strike,Possible,1,1,1,1,4,5,0,0,0,0,0,0,www.thebureauinvestigates.com/2014/01/06/yemen-reported-us-covert-actions-2014/#YEM169,
YEM170,26/09/2014,Khasaf,Jawf,AirstrikePossible drone strike,Possible,1,1,1,1,2,3,0,0,0,0,3,3,www.thebureauinvestigates.com/2014/01/06/yemen-reported-us-covert-actions-2014/#YEM170,
YEM171,15/10/2014,Bani AssafMayfaa,Shabwa,Drone strike,Confirmed,1,1,1,1,4,4,0,0,0,0,0,0,www.thebureauinvestigates.com/2014/01/06/yemen-reported-us-covert-actions-2014/#YEM171,
YEM172,24/10/2014,Radaa,Bayda,AirstrikePossible drone strike,Possible,1,1,1,1,3,10,0,10,0,0,0,0,www.thebureauinvestigates.com/2014/01/06/yemen-reported-us-covert-actions-2014/#YEM172,
YEM173,26/10/2014,Radaa,Bayda,AirstrikePossible drone strikeYemeni air and ground operations,Possible,1,1,1,1,12,20,2,10,0,0,0,0,www.thebureauinvestigates.com/2014/01/06/yemen-reported-us-covert-actions-2014/#YEM173,
YEM174,04/11/14,Radaa,Bayda,Drone strike,Confirmed,1,1,3,3,9,20,0,0,0,0,0,0,www.thebureauinvestigates.com/2014/01/06/yemen-reported-us-covert-actions-2014/#YEM174,
YEM175,12/11/14,Azzan,Shabwa,Drone strike,Confirmed,1,1,1,1,6,8,0,0,0,0,0,0,www.thebureauinvestigates.com/2014/01/06/yemen-reported-us-covert-actions-2014/#YEM175,
YEM176,26/11/2014,Hagr al Saiaar,Hadhramout,US-Yemen ground operation,Confirmed,0,0,1,1,7,7,0,0,0,0,0,0,www.thebureauinvestigates.com/2014/01/06/yemen-reported-us-covert-actions-2014/#YEM176,
YEM177,06/12/14,Nasab,Shabwa,US drone strike,Confirmed,1,1,1,1,9,10,0,0,0,0,3,3,www.thebureauinvestigates.com/2014/01/06/yemen-reported-us-covert-actions-2014/#YEM177,
YEM178,06/12/14,Dafaar,Shabwa,US ground operationPossible US air and drone strike,Confirmed,0,0,1,1,11,11,8,8,1,1,0,0,www.thebureauinvestigates.com/2014/01/06/yemen-reported-us-covert-actions-2014/#YEM178,
YEM179,26/01/2015,Hareeb,Shabwa/Mareb border,US drone strike,Confirmed,1,1,1,1,3,3,1,2,1,1,0,0,http://www.thebureauinvestigates.com/2015/01/26/yemen-reported-us-covert-actions-2015/#YEM179,http://www.thebureauinvestigates.com/2015/01/26/yemen-reported-us-covert-actions-2015/#
YEM180,31/01/2015,Al Saeed,Shabwa,US drone strike,Confirmed,1,1,1,1,4,4,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/01/26/yemen-reported-us-covert-actions-2015/#YEM180,
YEM181,02/02/15,Unknown,Bayda,US drone strike,Confirmed,1,1,1,1,3,6,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/01/26/yemen-reported-us-covert-actions-2015/#YEM181,
YEM182,20/02/2015,Al Houta,Shabwa,AirstrikePossible drone strike,Possible,1,1,1,1,2,3,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/01/26/yemen-reported-us-covert-actions-2015/#YEM182,
YEM183,28/02/2015,Bihan region,Shabwa,AirstrikePossible drone strike,Possible,1,1,1,1,3,4,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/01/26/yemen-reported-us-covert-actions-2015/#YEM183,
YEM184,01/03/15,Markha district,Shabwa,AirstrikePossible drone strike,Possible,1,1,1,1,2,3,0,0,0,0,3,3,http://www.thebureauinvestigates.com/2015/01/26/yemen-reported-us-covert-actions-2015/#YEM184,
YEM185,12/04/15,Mukalla,Hadhramout,US drone strike,Confirmed,1,1,1,1,3,7,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/01/26/yemen-reported-us-covert-actions-2015/#YEM185,
YEM186,17/04/2015,Habban,Shabwa,US drone strike,Confirmed,1,1,1,1,2,2,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/01/26/yemen-reported-us-covert-actions-2015/#YEM186,
YEM187,19/04/2015,Saeed district,Shabwa,US drone strike,Confirmed,1,1,1,1,2,6,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/01/26/yemen-reported-us-covert-actions-2015/#YEM187,
YEM188,21/04/2015,Mukalla,Hadramout,US drone strike,Confirmed,1,1,1,2,5,7,0,1,0,1,0,0,http://www.thebureauinvestigates.com/2015/01/26/yemen-reported-us-covert-actions-2015/#YEM188,
YEM189,08/05/15,Mafraq,Shabwa,AirstrikePossible US drone strike,Possible,1,1,1,1,3,3,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/01/26/yemen-reported-us-covert-actions-2015/#YEM189,
YEM190,10/05/15,Ataq,Shabwa,AirstrikePossible US drone strike,Possible,1,1,1,1,1,4,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/01/26/yemen-reported-us-covert-actions-2015/#YEM190,
