Strike ID,Date,Location,Area,Minimum total people killed,Maximum total people killed,Minimum civilians reported killed,Maximum civilians reported killed,Minimum children reported killed,Maximum children reported killed,Minimum reported injured,Maximum reported injured,Strike link,,Index
Ob181,01/01/11,Mandi Khel,North Waziristan,8,10,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob181,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#,232
Ob182,01/01/11,Mandi Khel,North Waziristan,4,6,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob182,,233
Ob183,01/01/11,Datta Khel,North Waziristan,4,5,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob183,,234
Ob184,01/01/11,Boya,North Waziristan,4,4,0,0,0,0,4,4,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob184,,235
Ob185,07/01/11,Ghar Laley,North Waziristan,1,6,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob185,,236
Ob186,12/01/11,Haider Khel,North Waziristan,3,6,0,0,0,0,2,15,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob186,,237
Ob187,18/01/2011,"Assar Madd Khel, Datta Khel",North Waziristan,3,7,0,0,0,0,3,3,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob187,,238
Ob188,23/01/2011,Doga Mada Khel,North Waziristan,2,5,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob188,,239
Ob189,23/01/2011,Doga Mada Khel,North Waziristan,2,3,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob189,,240
Ob190,23/01/2011,Razmak,North Waziristan,4,6,0,0,0,0,3,3,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob190,,241
Ob191,20/02/2011,"Kazha Punga area, Tehsil Birmal",South Waziristan,6,8,0,0,0,0,2,2,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob191,,242
Ob192,21/02/2011,Malik Jashdar,North Waziristan,7,14,0,11,0,0,10,10,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob192,,243
Ob193,24/02/2011,Mohammad Khel,North Waziristan,4,7,0,0,0,0,3,2,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob193,,244
Ob194,08/03/11,Landidog,South Waziristan,2,5,0,5,0,0,2,2,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob194,,245
Ob195,09/03/11,Datta Khel,North Waziristan,5,5,0,0,0,0,2,3,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob195,,246
Ob196,11/03/11,Khesoor,North Waziristan,4,12,5,5,0,0,0,0,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob196,,247
Ob197,11/03/11,Ghoroski,North Waziristan,4,4,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob197,,248
Ob198,13/03/2011,Azam Warsak,South Waziristan,0,4,0,0,0,0,0,5,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob198,,249
Ob199,13/03/2011,"Ishar Morr area, Qutab Khel, Miranshah",North Waziristan,4,7,0,0,0,0,5,5,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob199,,250
Ob200,14/03/2011,Malik Jashdar,North Waziristan,3,6,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob200,,251
Ob201,16/03/2011,Datta Khel,North Waziristan,3,5,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob201,,252
Ob202,17/03/2011,Datta Khel,North Waziristan,26,42,19,41,0,1,9,14,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob202,,253
Ob203,13/04/2011,Angor Adda,South Waziristan,4,7,0,7,0,0,6,10,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob203,,254
Ob204,22/04/2011,Spinwan,North Waziristan,20,26,5,9,3,5,5,10,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob204,,255
Ob205,06/05/11,Dwa Tooe,North Waziristan,7,18,6,6,0,0,4,4,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob205,,256
Ob206,10/05/11,Angor Adda,South Waziristan,3,5,0,0,0,0,4,4,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob206,,257
Ob207,12/05/11,Datta Khel,North Waziristan,5,8,0,0,0,0,1,1,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob207,,258
Ob208,13/05/2011,Doga Mada Khel,North Waziristan,3,5,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob208,,259
Ob209,16/05/2011,"Khushali Village, Mir Ail",North Waziristan,4,10,0,0,0,0,2,4,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob209,,260
Ob210,16/05/2011,"Khisoor Village, Mir Ali",North Waziristan,3,6,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob210,,261
Ob211,20/05/2011,Tappi,North Waziristan,4,6,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob211,,262
Ob212,23/05/2011,Mir Ali,North Waziristan,4,7,0,0,0,0,2,2,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob212,,263
Ob213,03/06/11,Ghwa Khwa,South Waziristan,5,12,0,0,0,0,1,3,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob213,,264
Ob214,06/06/11,"Tigger, Toji Khel Wazir",South Waziristan,7,9,0,0,0,0,2,2,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob214,,265
Ob215,06/06/11,Wacha Dana,South Waziristan,8,10,0,7,0,0,3,3,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob215,,266
Ob216,06/06/11,Darnashtra,South Waziristan,3,5,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob216,,267
Ob217,08/06/11,Zoynari,South Waziristan,18,23,0,0,0,0,6,6,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob217,,268
Ob218,08/06/11,Shawal,South Waziristan,4,4,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob218,,269
Ob219,15/06/2011,Wana,South Waziristan,2,10,0,0,0,0,2,2,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob219,,270
Ob220,15/06/2011,Karez,South Waziristan,0,0,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob220,,271
Ob221,15/06/2011,Mir Ali,North Waziristan,5,6,5,6,0,0,0,0,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob221,,272
Ob222,20/06/2011,Khardand,Kurram Agency,5,7,2,7,0,0,0,3,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob222,,273
Ob223,20/06/2011,Zarakai,Kurram Agency,2,5,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob223,,274
Ob224,27/06/2011,Shawal,South Waziristan,6,12,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob224,,275
Ob225,27/06/2011,Shakai,South Waziristan,12,21,0,20,0,0,2,2,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob225,,276
Ob226,05/07/11,Mir Ali,North Waziristan,4,6,0,3,0,2,5,5,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob226,,277
